date,open,high,low,close,market_cap,avg_block_size,blocks_size,cost_per_transaction_percent,cost_per_transaction,difficulty,est_transaction_volume_USD,est_transaction_volume,hash_rate,median_confirmation_time,miners_revenue,n_transactions_excl_chains_longer_than_100,n_transactions_excl_popular,n_transactions_per_block,n_transactions,n_unique_addresses,output_volume,total_bitcoins,trade_volume,transaction_fees_USD,transaction_fees,mempool_count_mean,mempool_count_stddev,mempool_count_min,mempool_count_max,mempool_growth_mean,mempool_growth_stddev,mempool_growth_min,mempool_growth_max,mempool_size_mean,mempool_size_stddev,mempool_size_min,mempool_size_max,wallets_created,transactions_per_sec_mean,transactions_per_sec_stddev,transactions_per_sec_min,transactions_per_sec_max,utxo_count_mean,utxo_count_stddev,utxo_count_min,utxo_count_max,news_stories_total,news_stories_positive,news_stories_negative,news_stories_neutral
11/20/2018,4863.93,4951.61,4272.11,4451.87,77401044320,1.203740303,191453.9395,0.537713237,27.84827208,6.6533E+12,1493888105,319755.5004,43657349.09,13.1,8032834.08,208203,273820,2185.227273,288450,543710,2115839.926,17386200,1286922324,324083.5803,69.36765011,31922.31076,5635.043194,21594,44793,1504.148229,1522.207355,519.05,39385.36667,25258141.35,4144512.142,18042591,32857189,737068573,3.242303241,1.043770463,1.833333333,27.78333333,57922596.33,6312.491169,57912561,57934260,1303,398,654,251
11/19/2018,5620.78,5620.78,4842.91,4871.49,84688539692,1.100711952,191295.0458,0.810665779,31.96504582,6.6533E+12,1056625987,199215.204,41672924.13,9.483333333,8565705.294,171549,257622,2126.753968,267971,470246,1073888.551,17384550,520520304.9,211995.856,39.9694861,17412.11181,15448.59654,80.5,44379,1557.584097,1365.986253,468.7833333,41942.76667,10140586.96,9243821.098,38604,25641446.5,735830485,3.475,1.041017148,1.3,22.71666667,57921954,10475.63951,57889757,57935510,1189,391,612,186
11/18/2018,5559.74,5653.61,5559.74,5623.54,97753714643,0.954274699,191156.3561,2.431850931,36.36489845,6.6533E+12,358591541.6,63965.16527,40680711.65,10.46666667,8720411.743,144600,233918,1949.617886,239803,393875,580343.1334,17382975,199003095,101118.8367,18.03746701,4384.371875,3295.031302,99,13197,1135.969167,902.3021212,377.0166667,24846.53333,2169133.044,1574899.111,34679.5,5515632,734799699,2.776319444,0.735924856,1.333333333,14.5,57858590.33,22174.68378,57807284,57887869,671,214,377,80
11/17/2018,5578.58,5578.58,5519.56,5554.33,96542098114,0.914248869,191038.9803,2.088846696,38.81264239,6.6533E+12,488025364.8,87802.08702,47956936.5,8.416666667,10194101.71,160749,255955,1811.372414,262649,428639,682834.8488,17381437.5,295708090.7,119785.6696,21.55099415,3099.944097,2418.869985,116,12085.5,1264.060868,991.2711956,451.1,22447.68333,1714690.126,1337537.165,46530.5,5596552.5,733788422,3.035046296,0.803301185,1.483333333,14.81666667,57786990.13,18777.53826,57739760,57806544,688,213,390,85
11/16/2018,5645.32,5657.02,5498.94,5575.55,96900828780,1.158173595,190906.4142,0.823698462,31.86114717,7.17597E+12,1095140497,195693.8574,41672924.13,12.41666667,9020655.432,188620,273280,2247.015873,283124,533314,1145277.433,17379625,598382905.5,206652.2448,36.92729384,9265.879861,5330.211184,119,20565.5,1288.900752,1086.530458,388.6166667,26334.65,5721307.165,3008153.228,34565.5,11305629.5,732713171,3.180474537,0.870824987,1.533333333,16.81666667,57706923.08,28111.98744,57653625,57742905,1035,344,507,184
11/15/2018,5736.15,5774.82,5358.38,5648.03,98151606541,1.193645071,190760.4843,0.335555222,31.32195038,7.1844E+12,2721200861,484615.0721,45356615.77,12.95,9131131.586,195081,277363,2295.472441,291525,523898,1892836.657,17378050,1154982471,217033.3359,38.65118054,13720.36933,8288.896942,249,30584.5,1404.231227,1948.961954,401.45,55774.46667,8917958.193,5229141.728,102221.5,17341267,731294256,3.31599537,1.047271593,1.666666667,26.65,57634382,18592.03369,57596274,57666099,1228,408,579,241
11/14/2018,6351.24,6371.55,5544.09,5738.35,99712077259,1.094776667,190608.8914,0.880558614,36.1454141,7.1844E+12,1201708840,194572.3253,48213725.42,11.23333333,10581750.71,185866,283021,2168.555556,292755,524969,1156024.042,17376462.5,394394702,159489.143,25.82337117,15168.37442,12628.378,104.5,42026.5,1459.855382,1374.653258,527.1333333,39541.81667,8080059.895,6833144.167,36033.5,21549170.5,729748269,3.494131944,1.333968352,1.9,31.36666667,57577714.13,20008.08412,57526584,57604657,1114,403,496,215
11/13/2018,6373.19,6395.27,6342.67,6359.49,1.10494E+11,1.110003267,190461.0966,1.183058352,34.65129028,7.1844E+12,817648104.6,128317.6362,42856644.82,12.01666667,9673254.194,183298,270789,2326.333333,279160,491740,889566.3896,17374775,233379998.5,115159.1935,18.07251239,8704.556481,4107.906193,182,18813.5,1301.432778,1113.354032,467.6,23668.91667,4762802.873,2254130.218,58456,11525170.5,728490109,3.26869213,0.839148546,1.566666667,17.8,57516655.21,18003.706,57482210,57538936,1012,347,496,169
11/12/2018,6411.76,6434.21,6360.47,6371.27,1.1069E+11,1.066877571,190327.8962,1.522725952,37.75300188,7.1844E+12,743806005.8,116184.5305,49999418.96,10.06666667,11326127.08,183945,291654,2142.9,300006,510341,864084.7634,17373275,161262278.8,122737.9142,19.17199757,3998.884028,2019.036211,182,10811.5,1419.572743,1167.527624,493.9666667,30914.08333,2355307.902,1482431.543,64210,7243499,727371997,3.427847222,0.886166515,1.6,17.93333333,57456494.58,17134.99556,57411843,57480824,1007,342,516,149
11/11/2018,6413.63,6423.25,6350.17,6411.27,1.11373E+11,0.874062295,190178.5333,3.036853942,47.49374294,7.1844E+12,386272349.2,60560.69281,52142251.2,7.65,11730527.06,150840,241217,1691.719178,246991,422962,544579.3295,17371525,130081811,90187.35483,14.13978687,2277.032986,1669.290648,77,8190.5,1260.228565,1011.079398,289.9833333,21697.2,1191139.538,870806.9554,19873.5,5609444.5,726120816,2.884513889,0.783931651,1.083333333,13.46666667,57393962.67,12504.1746,57361972,57411254,670,208,387,75
11/10/2018,6386.13,6437.28,6385.31,6409.22,1.11326E+11,0.955554313,190050.9202,2.753249756,41.92078339,7.1844E+12,384453167.1,60079.88193,46785170.59,10.81666667,10584955.89,163886,246343,1927.473282,252499,448642,588546.6903,17369700,165583852.5,106538.802,16.64920253,7296.345486,7018.44351,71,26549.5,1151.989653,945.5950769,427.4333333,24060.08333,3831329.833,3732403.674,18889,12804804.5,724804112,2.843993056,0.923456328,1.366666667,14.46666667,57345008.21,21514.97116,57308508,57378625,681,234,374,73
11/9/2018,6442.6,6456.46,6373.37,6385.62,1.10906E+11,1.13519578,189925.7426,1.226529812,36.35735171,7.1844E+12,841537370,131258.8532,45356615.77,10.83333333,10321706.72,184789,275144,2235.401575,283896,541363,857089.2358,17368062.5,234921792.6,143798.3987,22.42896582,7149.101968,4287.952681,119,18557,1335.407153,1111.012636,478.1333333,29909.18333,4287175.715,2464398.728,33055.5,10153498,723454317,3.264189815,0.890456157,1.35,18.98333333,57270865,22970.45224,57234472,57300437,950,345,460,145
11/8/2018,6522.27,6536.92,6438.53,6453.72,1.12078E+11,1.169965612,189781.5727,1.280584308,35.83129436,7.1844E+12,776728229.5,119749.9372,43213783.53,12.95,9946659.822,181186,268586,2294.190083,277597,498003,789766.3663,17366475,243318834.9,136204.176,20.99890399,8778.344097,6080.107451,139.5,23347.5,1335.1014,1072.044825,452.1,26883.86667,4758426.496,2967976.386,40258,10736216.5,721678766,3.245891204,0.754400198,1.716666667,16.21666667,57225009.25,10948.17389,57202011,57241563,1043,365,512,166
11/7/2018,6468.5,6552.16,6468.31,6530.14,1.13396E+11,1.144160846,189640.0069,1.270783624,36.62675192,7.1844E+12,846605365.6,129474.3164,46428031.89,11.58333333,10758522.35,191587,284591,2259.492308,293734,522947,878451.606,17364962.5,282785375.6,132988.5974,20.33841084,8965.590856,6284.371095,216.5,24850,1337.592951,1141.202522,545.4,28630.5,5138523.43,3017576.619,85591.5,11553852.5,720035103,3.385266204,0.878108181,1.916666667,19.35,57178015.04,12814.78331,57153274,57200372,1101,421,513,167
11/6/2018,6433.38,6463.55,6408.16,6461.01,1.12096E+11,1.072038437,189491.266,1.384611934,36.56043902,7.1844E+12,753728436.5,116941.3529,45713754.47,11.13333333,10436213.88,181736,276162,2230.085938,285451,519341,888083.5082,17363337.5,194984158,123647.2112,19.18392815,11564.8048,8400.387905,120.5,27942.5,1390.95081,1190.697601,440.5333333,26215.48333,6821854.359,5209714.827,41461,16353363.5,718558644,3.373229167,0.792160032,1.466666667,16.91666667,57144088.46,19996.53755,57092042,57167891,1103,384,496,223
11/5/2018,6363.62,6480.59,6363.62,6419.66,1.11456E+11,1.044358174,189354.0451,1.551435067,39.5123436,7.1844E+12,754581093.8,117226.2229,51427973.78,10.15,11706835.7,187196,287163,2057.520833,296283,536752,880155.4841,17361737.5,181319289.6,120298.6991,18.68872972,6552.128125,4842.474289,131,20478.5,1396.197477,1274.157261,402.1333333,30322.68333,4527239.394,3076668.987,34226,14314593,717737641,3.342569444,1.054781789,1.5,22.11666667,57080115.67,14496.46127,57052211,57096909,1092,370,523,199
11/4/2018,6365.47,6388.63,6294.57,6376.13,1.10689E+11,1.035187366,189203.6575,1.902231188,43.79969656,7.1844E+12,520943511.4,81500.91284,43928060.94,11.7,9909549.949,136545,220335,1839.406504,226247,412573,600027.8314,17359937.5,170377979.3,82044.69869,12.83578294,5139.667824,4348.628961,107.5,17194,1241.581701,1183.469751,383.7333333,27058.9,3898398.629,3939396.334,40338.5,14086247,717165680,2.703310185,0.858711237,1.1,16.9,57100365.54,28730.69304,57038049,57126513,728,239,405,84
